IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_713,2711,1,6,13,1,1,1,1,2,2,1,253,50,51,50,50,52
STUDENT_1918,2710,2,7,1,1,1,1,1,2,2,2,220,43,48,47,41,41
STUDENT_1484,2711,1,6,4,1,2,1,1,2,2,1,259,44,47,53,58,57
STUDENT_1531,2711,2,7,3,1,2,1,3,2,2,1,274,54,57,69,48,46
STUDENT_62,2131,1,6,5,1,3,1,2,4,4,2,315,55,55,72,58,74
STUDENT_1825,2710,2,7,3,1,2,1,1,2,2,2,270,58,53,42,58,59
STUDENT_1908,2710,2,7,1,1,2,1,1,2,2,1,245,52,47,58,52,35
STUDENT_715,2711,1,6,13,1,2,1,2,2,2,5,280,47,54,52,57,70
STUDENT_839,2131,1,6,10,1,1,1,2,3,3,1,276,64,49,54,52,58
STUDENT_293,2131,1,6,8,1,3,1,1,2,2,2,258,54,54,45,56,48
STUDENT_255,2131,1,6,2,1,2,1,1,2,2,2,256,52,55,52,53,45
STUDENT_445,2710,2,7,9,1,1,1,2,3,3,1,248,56,55,47,52,38
STUDENT_1917,2710,2,7,1,1,2,1,1,2,2,1,181,44,49,46,42,0
STUDENT_1870,2710,1,6,2,1,1,1,1,3,3,1,248,46,53,56,42,52
STUDENT_94,2131,1,6,3,1,2,1,2,3,3,1,299,61,63,58,58,59
STUDENT_1927,2710,2,7,1,1,1,1,1,2,2,1,233,54,48,37,48,46
STUDENT_406,2131,1,6,5,1,3,1,2,3,3,1,239,49,46,50,43,51
STUDENT_87,2131,1,6,2,1,2,1,2,2,2,1,234,45,44,54,48,43
STUDENT_83,2131,1,6,3,1,3,1,1,3,3,1,253,53,54,48,48,50
STUDENT_506,2710,2,7,9,1,1,1,1,2,2,1,269,61,53,55,54,46
STUDENT_567,2131,1,6,8,1,1,1,2,4,4,2,273,53,62,63,45,50
STUDENT_1104,2839,2,6,15,1,2,1,1,2,2,5,322,69,64,66,66,57
STUDENT_1831,2710,2,7,3,1,2,1,1,2,2,5,243,49,48,51,48,48
STUDENT_586,2131,1,6,5,1,1,1,1,2,2,2,294,57,50,68,62,58
STUDENT_450,2710,1,6,11,1,2,1,1,2,2,1,282,63,53,60,47,59
STUDENT_1684,2710,1,6,8,1,2,1,1,2,2,2,288,57,57,64,63,47
STUDENT_221,2131,1,6,2,1,2,1,1,2,2,1,237,52,45,44,54,43
STUDENT_1627,2710,2,7,7,1,3,1,1,3,3,2,236,53,45,46,40,52
STUDENT_397,2131,1,6,9,1,1,1,1,2,2,1,279,58,57,57,61,46
STUDENT_92,2131,1,6,4,1,2,1,2,2,2,5,247,47,49,51,48,51
STUDENT_1655,2710,2,7,7,1,2,1,1,2,2,2,237,44,49,52,49,43
STUDENT_1928,2710,2,7,1,2,2,1,1,2,2,2,250,51,50,57,49,44
STUDENT_269,2131,1,6,3,1,1,1,1,4,4,2,256,51,50,61,44,50
STUDENT_1344,2711,2,7,8,1,2,1,2,3,3,1,275,60,48,65,54,48
STUDENT_1693,2710,1,6,8,1,1,1,1,2,2,3,211,38,39,49,40,45
STUDENT_777,2722,1,6,15,1,2,1,1,5,5,1,273,60,49,64,42,58
STUDENT_1493,2711,1,6,4,1,2,1,2,2,2,2,249,48,51,55,55,40
STUDENT_1088,2131,1,6,14,1,2,1,1,2,2,1,251,61,51,51,48,40
STUDENT_1834,2710,2,7,3,1,2,1,2,2,2,1,222,43,49,49,44,37
STUDENT_43,2131,1,6,13,2,2,1,1,2,2,2,280,60,62,57,60,41
STUDENT_1259,2711,1,6,13,1,2,5,1,1,1,2,320,64,51,70,68,67
STUDENT_190,2131,1,6,5,1,2,1,1,2,2,2,233,47,48,48,46,45
